Testament_Ord,Testament,Section_Ord,Section,OrderBk ,Book,BookTitle ,Chapters ,Chapters_Incrm,Verses,BookSummary
2,New,7,Epistles Paul,49,Eph,The Epistle of Paul to the Ephesians,6,1098:1103,155,A treatise by St. Paul on the power of divine grace.
2,New,7,Epistles Paul,50,Phl,The Epistle of Paul to the Philippians,4,1104:1107,104,St. Paul sets forth the beauty of Christian kindness.
2,New,7,Epistles Paul,51,Col,The Epistle of Paul to the Colossians,4,1108:1111,95,"St. Paul warns his disciples against errors, and exhorts to certain duties."
2,New,7,Epistles Paul,52,1Th,The First Epistle of Paul to the Thessalonians,5,1112:1116,89,St. Paul exhorts his disciples to continue in the faith and in holy conversation.
2,New,7,Epistles Paul,53,2Th,The Second Epistle of Paul to the Thessalonians,3,1117:1119,47,St. Paul corrects an error concerning the speedy coming of Christ the second time.
2,New,7,Epistles Paul,54,1Ti,The First Epistle of Paul to Timothy,6,1120:1125,113,"St. Paul instructs Timothy in the duty of a pastor, and encourages him in the work of the ministry."
2,New,7,Epistles Paul,55,2Ti,The Second Epistle of Paul to Timothy,4,1126:1129,83,"St. Paul instructs Timothy in the duty of a pastor, and encourages him in the work of the ministry."
2,New,7,Epistles Paul,56,Tit,The Epistle of Paul to Titus,3,1130:1132,46,Epistle to Titus. St. Paul encourages Titus in the performance of his ministerial duties.
2,New,7,Epistles Paul,57,Phm,The Epistle of Paul to Philemon,1,1133:1133,25,An appeal to a converted master to receive a converted escaped slave with kindness.
2,New,8,Epistles Gen,58,Heb,The Epistle to the Hebrews,13,1134:1146,303,St. Paul maintains that Christ is the substance of the ceremonial law.
2,New,8,Epistles Gen,59,Jas,The General Epistle of James,5,1147:1151,108,A treatise on the efficacy of faith united with good works.
2,New,8,Epistles Gen,60,1Pe,The First Epistle of Peter,5,1152:1156,105,"Exhortations to a Christian life, with various warnings and predictions."
2,New,8,Epistles Gen,61,2Pe,The Second Epistle of Peter,3,1157:1159,61,"Exhortations to a Christian life, with various warnings and predictions."
2,New,8,Epistles Gen,62,1Jo,The First Epistle of John,5,1160:1164,105,"Respecting the person of our Lord, and an exhortation to Christian love and conduct."
2,New,8,Epistles Gen,63,2Jo,The Second Epistle of John,1,1165:1165,13,St. John warns a converted lady against false teachers.
2,New,8,Epistles Gen,64,3Jo,The Third Epistle of John,1,1166:1166,14,"A letter to Gaius, praising him for his hospitality."
2,New,8,Epistles Gen,65,Jde,The Epistle of Jude,1,1167:1167,25,Warnings against deceivers.
2,New,9,Epistle Apoc,66,Rev,The Book of Revelation (or The Apocalypse of John),22,1168:1189,404,The future of the Church foretold.
